name,img
اتلتيك بلباو,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/اتلتيك_بلباو.png
اتلتيكو مدريد,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/اتلتيكو_مدريد.png
اسبانيول,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/اسبانيول.png
اشبيليه,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/اشبيليه.png
التشي,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/التشي.png
اوساسونا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/اوساسونا.png
برشلونه,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/برشلونه.png
جيرونا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/جيرونا.png
خيتافي,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/خيتافي.png
ديبورتيفو الافيس,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/ديبورتيفو_الافيس.png
رايو فايكانو,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/رايو_فايكانو.png
ريال اوفييدو,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/ريال_اوفييدو.png
ريال بيتيس,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/ريال بيتيس.png
ريال سوسييداد,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/ريال_سوسييداد.png
ريال مايوركا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/ريال_مايوركا.png
ريال مايوركا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/ريال_مايوركا.png
ريال مدريد,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/ريال_مدريد.png
سيلتا دي فيغو,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/سيلتا_دي_فيغو.png
فالنسيا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/فالنسيا.png
فياريال,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/فياريال.png
ليفانتي,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/esb/ليفانتي.png
