name,img
أتلتيكو مدريد,teams_images/أتلتيكو مدريد.png
آرسنال,teams_images/آرسنال.png
أستون فيلا,teams_images/أستون فيلا.png
إنتر ميلان,teams_images/إنتر ميلان.png
آيك أثينا,teams_images/آيك أثينا.png
آيندهوفن,teams_images/آيندهوفن.png
باريس سان جيرمان,teams_images/باريس سان جيرمان.png
بايرن ميونخ,teams_images/بايرن ميونخ.png
برشلونة,teams_images/برشلونة.png
بودو غليمت,teams_images/بودو غليمت.png
بورتو,teams_images/بورتو.png
بوروسيا دورتموند,teams_images/بوروسيا دورتموند.png
روما,teams_images/روما.png
ريال بيتيس,teams_images/ريال بيتيس.png
ريال مدريد,teams_images/ريال مدريد.png
سبورتينغ لشبونة,teams_images/سبورتينغ لشبونة.png
سلافيا براغ,teams_images/سلافيا براغ.png
سلوفان براتيسلافا,teams_images/سلوفان براتيسلافا.png
شاختار دونيتسك,teams_images/شاختار دونيتسك.png
شتوتغارت,teams_images/شتوتغارت.png
صباح,teams_images/صباح.png
غلطة سراي,teams_images/غلطة سراي.png
فايكنغ,teams_images/فايكنغ.png
فاينورد,teams_images/فاينورد.png
فنربخشة,teams_images/فنربخشة.png
فياريال,teams_images/فياريال.png
كلوب بروج,teams_images/كلوب بروج.png
كومو,teams_images/كومو.png
لاسك,teams_images/لاسك.png
لانس,teams_images/لانس.png
لايبزيغ,teams_images/لايبزيغ.png
ليفربول,teams_images/ليفربول.png
ليل,teams_images/ليل.png
مانشستر سيتي,teams_images/مانشستر سيتي.png
مانشستر يونايتد,teams_images/مانشستر يونايتد.png
نابولي,teams_images/نابولي.png
